                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65615,                 3.2284,                 1.2836,                 0.4768,                0.45762,                0.46468,                0.38371,                0.59334,                 1.7834,                 1.3094,              0.0033251,              0.0033251,              0.0033251
                      2,                0.54645,                 1.8603,                 1.1886,                0.39351,                0.56789,                 0.4688,                0.38167,                0.67131,                 1.8556,                 1.4336,              0.0065925,              0.0065925,              0.0065925
                      3,                0.63614,                 1.8354,                 1.2393,                0.59471,                0.39614,                0.41656,                0.30268,                0.94544,                 1.9988,                 1.7082,              0.0097939,              0.0097939,              0.0097939
                      4,                0.70677,                  1.931,                 1.2892,                0.50834,                0.55726,                0.55465,                0.41464,                0.82677,                 1.6984,                 1.5735,               0.009703,               0.009703,               0.009703
                      5,                0.68243,                 1.7976,                 1.2642,                0.59987,                0.54326,                0.56498,                0.44591,                0.75204,                 1.5026,                 1.4835,               0.009604,               0.009604,               0.009604
                      6,                0.65644,                 1.7176,                 1.2437,                0.41262,                0.50188,                0.46915,                0.35838,                0.83344,                 1.8884,                  1.536,               0.009505,               0.009505,               0.009505
                      7,                0.62473,                 1.6099,                 1.2172,                0.55256,                0.50522,                0.58024,                0.48069,                0.66869,                 1.4865,                 1.3993,               0.009406,               0.009406,               0.009406
                      8,                0.59386,                 1.5359,                 1.1895,                0.57794,                0.69557,                0.66314,                0.56397,                0.57748,                 1.1892,                 1.2484,               0.009307,               0.009307,               0.009307
                      9,                0.58237,                   1.48,                 1.1838,                0.60121,                0.66154,                0.67559,                 0.5598,                0.61586,                 1.2289,                 1.3086,               0.009208,               0.009208,               0.009208
                     10,                0.56067,                  1.412,                 1.1698,                 0.6411,                0.63861,                0.69118,                0.58709,                0.58882,                 1.1868,                 1.2882,               0.009109,               0.009109,               0.009109
                     11,                0.55491,                 1.3753,                 1.1645,                0.56934,                0.68012,                0.67559,                0.56364,                 0.6219,                 1.2332,                 1.2945,                0.00901,                0.00901,                0.00901
                     12,                0.52641,                 1.3346,                 1.1431,                0.74217,                0.63673,                  0.706,                0.61939,                0.53067,                 1.1049,                 1.2071,               0.008911,               0.008911,               0.008911
                     13,                0.52246,                 1.2998,                 1.1401,                0.62803,                 0.6608,                0.70655,                0.61546,                0.52262,                 1.1007,                 1.2174,               0.008812,               0.008812,               0.008812
                     14,                0.50956,                 1.2589,                 1.1287,                0.68677,                0.64724,                0.72512,                 0.6419,                0.52095,                 1.0005,                 1.2315,               0.008713,               0.008713,               0.008713
                     15,                0.49841,                 1.2207,                 1.1265,                0.67038,                0.72753,                0.72978,                0.64143,                0.48428,                 1.0859,                 1.1644,               0.008614,               0.008614,               0.008614
                     16,                0.48833,                 1.1828,                 1.1205,                0.68765,                0.66505,                0.73996,                0.65197,                 0.4839,                0.96689,                 1.1445,               0.008515,               0.008515,               0.008515
                     17,                0.47651,                 1.1404,                 1.1106,                0.71121,                 0.7213,                0.75816,                0.67918,                0.45328,                0.98098,                 1.1188,               0.008416,               0.008416,               0.008416
                     18,                0.46424,                 1.1121,                 1.1045,                0.70986,                0.67022,                0.74961,                0.67825,                0.46041,                0.95978,                 1.1307,               0.008317,               0.008317,               0.008317
                     19,                0.45511,                 1.0869,                 1.0942,                0.68811,                 0.7139,                0.75417,                 0.6644,                0.46797,                0.99102,                 1.1432,               0.008218,               0.008218,               0.008218
                     20,                0.45204,                 1.0736,                 1.0951,                0.66611,                0.75494,                0.76633,                0.69452,                0.42457,                0.94637,                 1.0871,               0.008119,               0.008119,               0.008119
                     21,                0.44438,                 1.0555,                 1.0888,                0.74563,                0.64923,                0.74058,                0.67509,                0.44579,                 0.9499,                 1.1092,                0.00802,                0.00802,                0.00802
                     22,                0.44006,                 1.0177,                 1.0907,                0.73227,                 0.7474,                0.77138,                0.70509,                0.43242,                0.92032,                 1.0983,               0.007921,               0.007921,               0.007921
                     23,                0.43704,                0.99657,                 1.0821,                0.68043,                0.70882,                0.73683,                0.65788,                0.44243,                 1.0065,                 1.0959,               0.007822,               0.007822,               0.007822
                     24,                0.42478,                0.98148,                 1.0718,                0.69663,                0.74471,                0.77439,                0.69993,                0.42933,                0.93185,                 1.1028,               0.007723,               0.007723,               0.007723
                     25,                0.41954,                0.97495,                 1.0707,                0.71451,                0.73123,                0.77451,                0.70369,                  0.423,                0.95241,                 1.0845,               0.007624,               0.007624,               0.007624
                     26,                0.41786,                0.93739,                 1.0684,                0.73043,                0.74148,                0.78038,                0.70224,                0.44953,                0.94362,                  1.104,               0.007525,               0.007525,               0.007525
                     27,                0.40468,                 0.9099,                 1.0636,                0.70965,                0.72252,                0.76056,                  0.691,                0.44785,                0.93536,                 1.1216,               0.007426,               0.007426,               0.007426
                     28,                0.40108,                0.88078,                 1.0578,                0.74072,                0.68985,                  0.758,                0.69257,                0.41032,                0.95855,                  1.071,               0.007327,               0.007327,               0.007327
                     29,                0.40517,                0.89362,                 1.0604,                0.67924,                0.76175,                0.78111,                0.72326,                0.39293,                0.85344,                 1.0455,               0.007228,               0.007228,               0.007228
                     30,                0.38683,                0.85069,                 1.0487,                0.70026,                0.74702,                0.75687,                0.68865,                0.39988,                 0.9426,                 1.0657,               0.007129,               0.007129,               0.007129
                     31,                0.39004,                0.84076,                 1.0548,                0.67576,                0.77205,                0.77707,                0.71218,                0.39353,                0.95983,                 1.0485,                0.00703,                0.00703,                0.00703
